Time: 2019-Nov-25__15_45_21PM2.5: 0.5  PM10: 0.5
Time: 2019-Nov-25__15_45_23PM2.5: 0.5  PM10: 0.5
Time: 2019-Nov-25__15_45_25PM2.5: 0.4  PM10: 0.5
Time: 2019-Nov-25__15_45_27PM2.5: 0.5  PM10: 0.5
Time: 2019-Nov-25__15_45_29PM2.5: 0.4  PM10: 0.5
Time: 2019-Nov-25__15_46_02PM2.5: 0.0  PM10: 0.0
Time: 2019-Nov-25__15_46_04PM2.5: 0.2  PM10: 0.2
Time: 2019-Nov-25__15_46_06PM2.5: 0.5  PM10: 0.5
Time: 2019-Nov-25__15_46_08PM2.5: 0.6  PM10: 0.6
Time: 2019-Nov-25__15_46_10PM2.5: 0.6  PM10: 0.6
Time: 2019-Nov-25__15_46_13PM2.5: 0.5  PM10: 0.7
Time: 2019-Nov-25__15_46_15PM2.5: 0.6  PM10: 0.6
Time: 2019-Nov-25__15_46_17PM2.5: 0.6  PM10: 0.6
Time: 2019-Nov-25__15_46_19PM2.5: 0.5  PM10: 0.9
